,epochs,train_loss,test_loss,z_loss,z_testloss,a_loss,a_testloss,n_loss,n_testloss
59,59,0.035721701096755244,0.034755761699774596,0.013979374767301943,0.013586868237279639,0.003699881878618996,0.003420125632664731,0.01804244448058902,0.01774876780477883
60,60,0.0353961972870861,0.033982895574049106,0.01384623434704047,0.013223977783058264,0.0036268054869192574,0.00328641072581699,0.017923157438992882,0.01747250688981406
61,61,0.03493064745498922,0.033630916895934296,0.013563300683773078,0.012997740620299231,0.0035805522163693134,0.003242252505077874,0.01778679464559871,0.017390923739611347
62,62,0.034421622259215044,0.03338966242780414,0.013315222577188915,0.012915039317140097,0.0034839785218941043,0.0032285761922197062,0.01762242112070703,0.017246046952337404
63,63,0.03378509550382154,0.032842683358282984,0.0128978586490876,0.012633346292319932,0.003429654108646055,0.0031546137584491244,0.017457582726003455,0.017054723316355595
64,64,0.03351443878616007,0.032423538214798216,0.012865872756122781,0.012457304032920282,0.0033808815082499444,0.0030749177020868356,0.01726768443438287,0.01689131642821469
65,65,0.03304243293076087,0.0319932215623086,0.012581139487532762,0.012092748444668854,0.0032633427848902563,0.0030981595966894228,0.01719795053783126,0.016802313584315626
66,66,0.032562335726980585,0.0316805058170723,0.012269120926733691,0.012045600239328946,0.003260254332150062,0.003058553331449062,0.01703296039408198,0.01657635230523876
67,67,0.03211768616597873,0.031070126597828502,0.012111295231829246,0.011619029560751176,0.0031951385090490596,0.0029724593085673034,0.016811252452623538,0.01647863784639896
68,68,0.03184611503832256,0.03099518552233901,0.011964229765696267,0.011650747012441294,0.003155806024868291,0.0030296884117577273,0.016726079170767683,0.016314750101087214
69,69,0.03141124403705231,0.030441443282592146,0.011714080034698636,0.011404305460709559,0.0031284756453398366,0.002869571402928309,0.016568688321680115,0.016167566368851482
70,70,0.03099597974445302,0.029982476954973195,0.011491511707393506,0.011118236958650472,0.0030719684336495143,0.0027586737267460814,0.016432499516005523,0.016105566185580778
71,71,0.03043788495940713,0.02933044766983654,0.01117574030938097,0.010734026573739851,0.0030407665316729594,0.0027802834917991597,0.016221378061075372,0.0158161375247225
72,72,0.030175596713638914,0.029220409219778035,0.011040060020709475,0.010785952080748503,0.0030126727889842404,0.002747861102600641,0.016122863970149438,0.015686596154317826
73,73,0.029868060550369776,0.028887680295524718,0.010952353165053521,0.010641055877167212,0.0029344680643203064,0.0027062261648051725,0.015981239355957737,0.015540398280077342
74,74,0.02951662560788016,0.028714359065965762,0.010741800048980659,0.010585609363698506,0.002948263401207261,0.002690600309391282,0.015826562190422427,0.01543814940024403
75,75,0.029001350809162416,0.027972085259949105,0.010493034223160043,0.010099607089510824,0.0028032663597401006,0.002617248494614246,0.01570505026085213,0.015255229630142073
76,76,0.028753470718717804,0.02775858097438571,0.010286264863912575,0.009984922335966479,0.0028727028337411416,0.0026047908143977385,0.015594502994284843,0.015168867869703452
77,77,0.028428581290351695,0.027492304037832007,0.010163330783942541,0.00988401507935192,0.0028304931143828377,0.0024964286270846106,0.015434757487985272,0.015111860453705245
78,78,0.028071835660896362,0.027043573204663735,0.009946437063106238,0.009628693567282414,0.002808059886701929,0.0025241474320381123,0.015317338661620982,0.014890732125768179
79,79,0.027816388607263185,0.026825253203322616,0.009804435008869003,0.009527422593835789,0.0027653232544880752,0.00249452861851152,0.015246630310060117,0.014803302032236435
80,80,0.027329228378046817,0.02614520240244986,0.009607804448198014,0.009087193975390135,0.002675528311506866,0.0024207917224804434,0.015045895608671651,0.014637216848993226
